nodo,1,2,3,4,5
1,,25.81576,21.45916,25.052826666666668,7.173733333333331
2,25.81576,,18.60170666666665,8.05844,21.137026666666664
3,21.45916,18.60170666666665,,15.856746666666668,15.523186666666668
4,25.052826666666668,8.05844,15.856746666666668,,20.37409333333333
5,7.173733333333331,21.137026666666664,15.523186666666668,20.37409333333333,
