nodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,,25.81576,21.45916,25.052826666666668,7.173733333333331,19.70596,18.419,25.00816,20.292946666666666,34.91313333333335,21.173199999999994,28.0622,24.185066666666668,27.275986666666675,23.80465333333333,14.539693333333338,20.753466666666668,14.83933333333334,46.48602666666667,47.34021333333333,19.66266666666666,16.165840000000003,34.26090666666667,30.549333333333337,32.40364,15.237426666666671,18.29505333333333,14.865760000000003,13.173213333333331,14.355759999999997,11.38088,17.766240000000003,26.140986666666667,41.233693333333335,12.640480000000002,10.954013333333336,23.47958666666666,115.71811999999998,19.84888,17.64516
2,25.81576,,18.60170666666665,8.05844,21.137026666666664,5.827999999999999,7.39676,8.013773333333331,18.094626666666656,11.347893333333332,15.665879999999994,11.040693333333335,7.19068,5.949893333333334,3.709533333333333,33.49163999999999,32.7218,10.813093333333333,37.063,36.55073333333334,12.192493333333328,19.63949333333333,13.22632,13.187613333333328,19.638013333333337,28.380866666666662,12.44158666666666,10.786666666666669,12.43376,15.20072,15.493146666666668,18.50796,9.1466,20.803466666666672,33.04021333333332,28.172386666666675,6.991653333333332,130.17586666666668,5.966880000000001,8.050893333333333
3,21.45916,18.60170666666665,,15.856746666666668,15.523186666666668,10.05,9.22292,15.81208,2.317773333333333,24.298320000000007,4.714640000000001,18.86612,14.988986666666666,16.84893333333333,14.60857333333333,27.877800000000008,27.10796,7.421840000000002,25.540786666666666,26.394973333333343,4.843040000000001,14.025653333333336,20.11737333333333,26.13804,11.4584,22.76702666666668,4.645386666666667,7.448266666666668,6.531533333333334,9.586880000000004,9.87930666666667,12.894120000000006,16.944906666666665,32.14497333333333,27.42637333333333,18.69048,12.001693333333332,120.69396,10.6528,7.651866666666667
4,25.052826666666668,8.05844,15.856746666666668,,20.37409333333333,10.12604,6.633826666666667,0.8779999999999999,15.349666666666662,17.08266666666667,17.11561333333333,4.861666666666666,1.3114266666666667,6.488293333333334,4.767813333333334,32.72870666666666,31.958866666666665,10.05016,40.88361333333334,41.7378,13.06136,18.87656,18.961093333333327,14.34462666666667,25.00606666666668,27.61793333333333,11.8686,10.023733333333332,11.670826666666663,14.437786666666668,14.730213333333332,17.745026666666664,3.1402000000000005,21.49253333333334,32.27728,27.40945333333334,12.726426666666669,129.4129333333333,7.96984,9.907413333333333
5,7.173733333333331,21.137026666666664,15.523186666666668,20.37409333333333,,16.017666666666667,13.740266666666669,20.329426666666667,15.016106666666667,30.560120000000005,17.882253333333335,23.383466666666667,19.50633333333333,21.36628,19.12592,12.94968,16.400453333333335,8.903373333333334,40.55005333333334,41.40424,16.371719999999996,7.333133333333333,30.969960000000004,26.196320000000004,26.86266666666668,10.884413333333333,15.004106666666669,8.9298,9.735826666666668,7.640306666666666,5.64388,9.609013333333335,21.462253333333333,36.88068,11.669813333333336,16.020053333333333,18.67574666666667,120.78416,15.170146666666666,13.956866666666668
6,19.70596,5.827999999999999,10.05,10.12604,16.017666666666667,,4.031226666666666,10.081373333333334,9.54292,14.852226666666672,10.726333333333333,13.135413333333336,9.25828,8.017493333333334,5.7771333333333335,28.372280000000003,27.602440000000005,6.522880000000001,35.07686666666667,32.58432,6.500720000000001,14.520133333333336,16.84603999999999,16.691946666666666,17.927120000000006,23.26150666666668,5.307960000000001,6.496453333333333,7.055293333333334,10.081360000000004,10.37378666666667,13.388600000000006,11.2142,22.86910666666667,27.92085333333333,22.062586666666668,4.942506666666668,124.06606666666664,2.6013466666666667,3.2439200000000006
7,18.419,7.39676,9.22292,6.633826666666667,13.740266666666669,4.031226666666666,,6.589160000000001,8.71584,16.420986666666668,10.481786666666665,9.643200000000002,5.766066666666666,7.626013333333334,5.385653333333333,26.09488,25.32504,3.4163333333333337,34.249786666666665,35.10397333333333,6.427533333333333,12.242733333333335,18.299413333333327,15.774146666666672,19.462200000000003,20.98410666666667,5.234773333333333,3.389906666666666,5.037,7.803960000000002,8.096386666666668,11.111200000000002,7.721986666666667,22.92205333333333,25.643453333333333,20.775626666666668,8.073986666666666,122.77910666666668,1.42988,3.273586666666666
8,25.00816,8.013773333333331,15.81208,0.8779999999999999,20.329426666666667,10.081373333333334,6.589160000000001,,15.304999999999996,17.038000000000004,17.07094666666666,4.816999999999999,1.26676,6.443626666666667,4.723146666666667,32.68403999999999,31.9142,10.005493333333332,40.838946666666665,41.693133333333336,13.016693333333333,18.83189333333333,18.91642666666666,14.29996,24.961400000000005,27.573266666666665,11.823933333333333,9.979066666666666,11.626159999999995,14.393119999999996,14.685546666666664,17.700359999999996,3.1136000000000004,21.44786666666668,32.23261333333332,27.36478666666667,12.68176,129.36826666666667,7.925173333333332,9.862746666666665
9,20.292946666666666,18.094626666666656,2.317773333333333,15.349666666666662,15.016106666666667,9.54292,8.71584,15.304999999999996,,23.791240000000005,6.836800000000001,18.35904,14.481906666666667,16.341853333333333,14.101493333333334,27.37072,26.600880000000007,6.914759999999999,27.344639999999995,28.19882666666668,7.677693333333333,13.518573333333334,21.92122666666666,25.63096,13.262253333333334,22.25994666666667,6.310079999999999,6.941186666666666,5.36532,9.079800000000002,9.372226666666666,12.38704,16.437826666666666,31.63789333333333,26.91929333333334,17.524266666666662,11.494613333333332,118.99724,10.14572,7.144786666666668
10,34.91313333333335,11.347893333333332,24.298320000000007,17.08266666666667,30.560120000000005,14.852226666666672,16.420986666666668,17.038000000000004,23.791240000000005,,21.36249333333333,19.30644,16.214906666666664,12.511933333333335,12.73376,32.13057333333334,31.36073333333333,19.83732,38.66375999999999,35.28593333333334,17.889106666666667,22.37394666666667,11.96152,5.932066666666667,21.26782666666666,27.019800000000004,18.1382,19.810893333333333,23.12554666666665,24.224946666666668,24.51737333333333,22.31662666666667,18.170826666666667,14.25273333333333,31.679146666666668,36.71930666666667,12.688266666666667,138.7227866666666,14.991106666666669,17.41108
11,21.173199999999994,15.665879999999994,4.714640000000001,17.11561333333333,17.882253333333335,10.726333333333333,10.481786666666665,17.07094666666666,6.836800000000001,21.36249333333333,,20.12498666666667,16.24785333333333,15.696733333333334,13.456373333333334,30.236866666666664,29.467026666666666,9.780906666666668,25.24937333333333,23.86491999999999,3.4519200000000008,16.38472,14.955346666666667,23.202213333333336,9.229546666666666,25.126093333333333,5.234213333333332,9.807333333333334,8.522533333333335,11.94594666666667,12.238373333333335,15.253186666666666,18.20377333333333,30.54834666666667,29.78544,22.11629333333333,9.065866666666668,124.11977333333331,11.911666666666669,7.613759999999999
12,28.0622,11.040693333333335,18.86612,4.861666666666666,23.383466666666667,13.135413333333336,9.643200000000002,4.816999999999999,18.35904,19.30644,20.12498666666667,,3.99528,8.356813333333333,7.777186666666666,30.327506666666668,29.55766666666667,13.059533333333334,43.892986666666665,44.747173333333336,16.07073333333333,21.88593333333333,21.970466666666663,14.942640000000004,28.01544,25.216733333333337,14.877973333333337,13.033106666666669,14.6802,17.447159999999993,17.739586666666664,20.7544,6.2514666666666665,22.090546666666672,29.87608,30.41882666666667,15.7358,132.42230666666669,10.979213333333334,12.916786666666669
13,24.185066666666668,7.19068,14.988986666666666,1.3114266666666667,19.50633333333333,9.25828,5.766066666666666,1.26676,14.481906666666667,16.214906666666664,16.24785333333333,3.99528,,5.176866666666665,3.9000533333333336,31.86094666666666,31.09110666666667,9.1824,40.01585333333333,40.87004,12.1936,18.0088,18.093333333333327,13.0332,24.138306666666672,26.750173333333333,11.000839999999998,9.155973333333334,10.803066666666664,13.570026666666664,13.862453333333333,16.877266666666664,2.6979333333333337,20.181106666666672,31.409519999999983,26.54169333333333,11.858666666666668,128.54517333333334,7.102079999999999,9.039653333333332
14,27.275986666666675,5.949893333333334,16.84893333333333,6.488293333333334,21.36628,8.017493333333334,7.626013333333334,6.443626666666667,16.341853333333333,12.511933333333335,15.696733333333334,8.356813333333333,5.176866666666665,,2.2403600000000004,24.493426666666668,23.72358666666667,11.042346666666669,41.8758,40.17696,12.223346666666666,14.7368,16.852546666666655,8.148133333333334,22.89752000000001,19.382653333333337,12.47244,11.01592,12.663013333333334,15.429973333333333,15.7224,14.679480000000003,7.874800000000001,15.296039999999994,24.042000000000005,28.401640000000008,10.617879999999998,130.40511999999998,6.763546666666667,10.240386666666666
15,23.80465333333333,3.709533333333333,14.60857333333333,4.767813333333334,19.12592,5.7771333333333335,5.385653333333333,4.723146666666667,14.101493333333334,12.73376,13.456373333333334,7.777186666666666,3.9000533333333336,2.2403600000000004,,26.72732,25.95748,8.801986666666668,39.63544,37.9366,9.982986666666664,17.628386666666664,14.61218666666666,10.388493333333331,20.657160000000008,21.616546666666668,10.232079999999996,8.775560000000002,10.422653333333333,13.189613333333334,13.48204,16.49685333333333,5.855973333333333,17.5364,26.27589333333333,26.16128,8.37752,128.16476,4.523186666666667,8.000026666666667
16,14.539693333333338,33.49163999999999,27.877800000000008,32.72870666666666,12.94968,28.372280000000003,26.09488,32.68403999999999,27.37072,32.13057333333334,30.236866666666664,30.327506666666668,31.86094666666666,24.493426666666668,26.72732,,11.429613333333336,21.257986666666667,52.90466666666666,53.75885333333333,28.72633333333333,13.38328,43.32457333333334,27.766773333333337,39.21728,8.812786666666668,27.358719999999995,21.284413333333333,23.1926,19.8814,16.573186666666672,14.98368,33.81686666666666,38.45113333333333,1.8992133333333328,23.27937333333333,31.03036,133.59868,27.52476,26.311480000000003
17,20.753466666666668,32.7218,27.10796,31.958866666666665,16.400453333333335,27.602440000000005,25.32504,31.9142,26.600880000000007,31.36073333333333,29.467026666666666,29.55766666666667,31.09110666666667,23.72358666666667,25.95748,11.429613333333336,,20.48814666666667,52.13482666666667,52.98901333333332,27.956493333333324,14.271159999999997,42.55473333333334,26.99693333333333,38.44743999999999,4.869813333333335,26.58888,20.51457333333333,22.42276,19.11156,16.655373333333333,14.21384,33.04702666666667,37.681293333333336,13.328826666666668,27.256946666666668,30.260520000000003,142.79416,26.75492,25.54164
18,14.83933333333334,10.813093333333333,7.421840000000002,10.05016,8.903373333333334,6.522880000000001,3.4163333333333337,10.005493333333332,6.914759999999999,19.83732,9.780906666666668,13.059533333333334,9.1824,11.042346666666669,8.801986666666668,21.257986666666667,20.48814666666667,,32.448706666666666,33.30289333333334,8.270373333333335,7.405839999999999,20.88630666666665,19.190480000000008,18.761320000000005,16.147213333333333,6.902760000000002,26.426666666666662,2.73664,2.9670666666666667,3.2594933333333334,6.274306666666666,11.13832,26.338386666666665,20.80656,18.913866666666667,9.575386666666668,120.91734666666666,4.846213333333333,4.856506666666666
19,46.48602666666667,37.063,25.540786666666666,40.88361333333334,40.55005333333334,35.07686666666667,34.249786666666665,40.838946666666665,27.344639999999995,38.66375999999999,25.24937333333333,43.892986666666665,40.01585333333333,41.8758,39.63544,52.90466666666666,52.13482666666667,32.448706666666666,,3.9426133333333335,29.89502666666668,39.05252,27.50021333333333,40.50348000000002,18.06704,47.79389333333332,31.844026666666668,32.47513333333334,31.5584,34.61374666666666,34.90617333333332,37.92098666666666,41.97177333333333,50.985906666666686,52.453239999999965,43.94334666666668,33.691640000000014,133.24110666666667,35.67966666666666,32.678733333333334
20,47.34021333333333,36.55073333333334,26.394973333333343,41.7378,41.40424,32.58432,35.10397333333333,41.693133333333336,28.19882666666668,35.28593333333334,23.86491999999999,44.747173333333336,40.87004,40.17696,37.9366,53.75885333333333,52.98901333333332,33.30289333333334,3.9426133333333335,,27.05177333333334,39.90670666666667,24.122386666666667,37.12565333333335,14.728826666666668,48.64807999999999,28.871826666666667,33.32932,32.41258666666667,35.46793333333333,35.76035999999999,38.77517333333333,42.82596,47.608080000000015,53.30742666666664,44.85597333333335,30.923853333333337,134.21593333333334,36.53385333333333,30.428280000000008
21,19.66266666666666,12.192493333333328,4.843040000000001,13.06136,16.371719999999996,6.500720000000001,6.427533333333333,13.016693333333333,7.677693333333333,17.889106666666667,3.4519200000000008,16.07073333333333,12.1936,12.223346666666666,9.982986666666664,28.72633333333333,27.956493333333324,8.270373333333335,29.89502666666668,27.05177333333334,,14.87418666666667,15.688013333333334,19.72882666666668,12.394573333333334,23.61556000000001,2.024653333333333,8.2968,7.012000000000001,10.435413333333337,10.72784,13.742653333333337,14.14952,27.07496,28.274906666666663,20.605760000000004,5.592479999999999,122.60924,7.857413333333333,3.5723066666666665
22,16.165840000000003,19.63949333333333,14.025653333333336,18.87656,7.333133333333333,14.520133333333336,12.242733333333335,18.83189333333333,13.518573333333334,22.37394666666667,16.38472,21.88593333333333,18.0088,14.7368,17.628386666666664,13.38328,14.271159999999997,7.405839999999999,39.05252,39.90670666666667,14.87418666666667,,29.472426666666674,18.01014666666667,25.365133333333333,9.930226666666666,13.506573333333336,7.432266666666668,9.340453333333334,6.029253333333334,8.025680000000001,1.1315333333333335,19.96472,28.69450666666668,12.931853333333333,25.51768,17.178213333333332,127.52116,13.672613333333333,12.459333333333332
23,34.26090666666667,13.22632,20.11737333333333,18.961093333333327,30.969960000000004,16.84603999999999,18.299413333333327,18.91642666666666,21.92122666666666,11.96152,14.955346666666667,21.970466666666663,18.093333333333327,16.852546666666655,14.61218666666666,43.32457333333334,42.55473333333334,20.88630666666665,27.50021333333333,24.122386666666667,15.688013333333334,29.472426666666674,,13.801239999999998,11.135973333333332,38.21379999999999,16.622893333333334,20.91273333333333,21.610239999999987,25.033653333333323,25.32607999999999,28.340893333333323,20.049253333333333,24.28366666666667,42.87314666666664,35.204,13.080186666666664,137.20747999999998,16.869533333333333,16.42537333333333
24,30.549333333333337,13.187613333333328,26.13804,14.34462666666667,26.196320000000004,16.691946666666666,15.774146666666672,14.29996,25.63096,5.932066666666667,23.202213333333336,14.942640000000004,13.0332,8.148133333333334,10.388493333333331,27.766773333333337,26.99693333333333,19.190480000000008,40.50348000000002,37.12565333333335,19.72882666666668,18.01014666666667,13.801239999999998,,23.10754666666666,22.656,19.97792,19.16405333333333,20.811146666666662,22.850546666666663,23.87053333333333,17.952826666666667,15.731133333333334,10.589266666666663,27.315346666666663,38.55902666666667,14.527986666666669,140.56250666666665,14.567266666666669,19.2508
25,32.40364,19.638013333333337,11.4584,25.00606666666668,26.86266666666668,17.927120000000006,19.462200000000003,24.961400000000005,13.262253333333334,21.26782666666666,9.229546666666666,28.01544,24.138306666666672,22.89752000000001,20.657160000000008,39.21728,38.44743999999999,18.761320000000005,18.06704,14.728826666666668,12.394573333333334,25.365133333333333,11.135973333333332,23.10754666666666,,34.10650666666666,14.21462666666667,18.787746666666663,17.476013333333338,20.926359999999995,21.218786666666663,24.233599999999992,26.094226666666668,33.58997333333334,38.76585333333331,29.63496,16.266653333333334,134.19210666666666,20.892080000000004,15.77108
