nodo,1,2,3,4,5
1,,1936.182,1609.437,1878.962,538.0299999999999
2,1936.182,,1395.1279999999992,604.3829999999999,1585.2769999999998
3,1609.437,1395.1279999999992,,1189.256,1164.239
4,1878.962,604.3829999999999,1189.256,,1528.0569999999998
5,538.0299999999999,1585.2769999999998,1164.239,1528.0569999999998,
