nodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,,25.81576,21.45916,25.052826666666668,7.173733333333331,19.70596,18.419,25.00816,20.292946666666666,34.91313333333335,21.173199999999994,28.0622,24.185066666666668,27.275986666666675,23.80465333333333,14.539693333333338,20.753466666666668,14.83933333333334,46.48602666666667,47.34021333333333
2,25.81576,,18.60170666666665,8.05844,21.137026666666664,5.827999999999999,7.39676,8.013773333333331,18.094626666666656,11.347893333333332,15.665879999999994,11.040693333333335,7.19068,5.949893333333334,3.709533333333333,33.49163999999999,32.7218,10.813093333333333,37.063,36.55073333333334
3,21.45916,18.60170666666665,,15.856746666666668,15.523186666666668,10.05,9.22292,15.81208,2.317773333333333,24.298320000000007,4.714640000000001,18.86612,14.988986666666666,16.84893333333333,14.60857333333333,27.877800000000008,27.10796,7.421840000000002,25.540786666666666,26.394973333333343
4,25.052826666666668,8.05844,15.856746666666668,,20.37409333333333,10.12604,6.633826666666667,0.8779999999999999,15.349666666666662,17.08266666666667,17.11561333333333,4.861666666666666,1.3114266666666667,6.488293333333334,4.767813333333334,32.72870666666666,31.958866666666665,10.05016,40.88361333333334,41.7378
5,7.173733333333331,21.137026666666664,15.523186666666668,20.37409333333333,,16.017666666666667,13.740266666666669,20.329426666666667,15.016106666666667,30.560120000000005,17.882253333333335,23.383466666666667,19.50633333333333,21.36628,19.12592,12.94968,16.400453333333335,8.903373333333334,40.55005333333334,41.40424
6,19.70596,5.827999999999999,10.05,10.12604,16.017666666666667,,4.031226666666666,10.081373333333334,9.54292,14.852226666666672,10.726333333333333,13.135413333333336,9.25828,8.017493333333334,5.7771333333333335,28.372280000000003,27.602440000000005,6.522880000000001,35.07686666666667,32.58432
7,18.419,7.39676,9.22292,6.633826666666667,13.740266666666669,4.031226666666666,,6.589160000000001,8.71584,16.420986666666668,10.481786666666665,9.643200000000002,5.766066666666666,7.626013333333334,5.385653333333333,26.09488,25.32504,3.4163333333333337,34.249786666666665,35.10397333333333
8,25.00816,8.013773333333331,15.81208,0.8779999999999999,20.329426666666667,10.081373333333334,6.589160000000001,,15.304999999999996,17.038000000000004,17.07094666666666,4.816999999999999,1.26676,6.443626666666667,4.723146666666667,32.68403999999999,31.9142,10.005493333333332,40.838946666666665,41.693133333333336
9,20.292946666666666,18.094626666666656,2.317773333333333,15.349666666666662,15.016106666666667,9.54292,8.71584,15.304999999999996,,23.791240000000005,6.836800000000001,18.35904,14.481906666666667,16.341853333333333,14.101493333333334,27.37072,26.600880000000007,6.914759999999999,27.344639999999995,28.19882666666668
10,34.91313333333335,11.347893333333332,24.298320000000007,17.08266666666667,30.560120000000005,14.852226666666672,16.420986666666668,17.038000000000004,23.791240000000005,,21.36249333333333,19.30644,16.214906666666664,12.511933333333335,12.73376,32.13057333333334,31.36073333333333,19.83732,38.66375999999999,35.28593333333334
