RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,120,Greedy,1,True,"[9, 117, 144, 9]",30,115.716,85.51858267716534,34.48141732283466,3,100.0,0.08582329750061035
1,30,158,120,GRASP,1,True,"[9, 25, 9]",20,1989.338,84.10679790026248,35.89320209973752,2,100.0,0.033332109451293945
2,30,158,120,Enfriamiento Simulado,1,True,"[9, 117, 89, 9]",40,373.306,96.89902887139107,23.100971128608933,3,133.33333333333334,16.123024225234985
3,30,158,120,Algoritmo Genetico Estacionario,1,True,"[9, 89, 117, 9]",40,373.306,96.89902887139107,23.100971128608933,3,133.33333333333334,14.766378402709961
4,30,158,120,Algoritmo Memetico,1,True,"[9, 117, 152, 9]",40,347.302,99.55776902887139,20.44223097112861,3,133.33333333333334,187.96930313110352
5,30,158,120,Greedy,2,True,"[9, 117, 144, 9]",30,115.716,85.51858267716534,34.48141732283466,3,100.0,0.04515480995178223
6,30,158,120,GRASP,2,True,"[9, 117, 144, 9]",30,115.716,85.51858267716534,34.48141732283466,3,100.0,0.0343625545501709
7,30,158,120,Enfriamiento Simulado,2,True,"[9, 117, 89, 9]",40,373.306,96.89902887139107,23.100971128608933,3,133.33333333333334,15.1358003616333
8,30,158,120,Algoritmo Genetico Estacionario,2,True,"[9, 144, 117, 9]",40,115.716,109.51858267716534,10.481417322834659,3,133.33333333333334,18.548583984375
9,30,158,120,Algoritmo Memetico,2,True,"[9, 89, 144, 9]",40,373.306,114.89902887139107,5.100971128608933,3,133.33333333333334,199.19011306762695
10,30,158,120,Greedy,3,True,"[9, 117, 144, 9]",30,115.716,85.51858267716534,34.48141732283466,3,100.0,0.045330047607421875
11,30,158,120,GRASP,3,True,"[9, 152, 144, 9]",30,347.302,93.55776902887138,26.442230971128623,3,100.0,0.03467297554016113
12,30,158,120,Enfriamiento Simulado,3,True,"[9, 117, 89, 9]",40,373.306,96.89902887139107,23.100971128608933,3,133.33333333333334,14.897068977355957
13,30,158,120,Algoritmo Genetico Estacionario,3,True,"[9, 89, 7, 9]",39,1539.7939999999999,113.20727034120735,6.792729658792652,3,130.0,15.116822004318237
14,30,158,120,Algoritmo Memetico,3,True,"[9, 89, 21, 9]",39,1171.986,115.38039370078741,4.619606299212592,3,130.0,202.59768772125244
15,30,158,120,Greedy,4,True,"[9, 117, 144, 9]",30,115.716,85.51858267716534,34.48141732283466,3,100.0,0.05402421951293945
16,30,158,120,GRASP,4,True,"[9, 121, 138, 9]",29,1866.9300000000003,101.5003937007874,18.4996062992126,3,96.66666666666666,0.04274249076843262
17,30,158,120,Enfriamiento Simulado,4,True,"[9, 117, 89, 9]",40,373.306,96.89902887139107,23.100971128608933,3,133.33333333333334,16.839786529541016
18,30,158,120,Algoritmo Genetico Estacionario,4,True,"[9, 144, 117, 9]",40,115.716,109.51858267716534,10.481417322834659,3,133.33333333333334,16.612788677215576
19,30,158,120,Algoritmo Memetico,4,True,"[9, 138, 122, 9]",37,1615.18,113.19658792650918,6.803412073490819,3,123.33333333333334,200.66816520690918
20,30,158,120,Greedy,5,True,"[9, 117, 144, 9]",30,115.716,85.51858267716534,34.48141732283466,3,100.0,0.047089338302612305
21,30,158,120,GRASP,5,True,"[9, 104, 25, 9]",30,2047.348,116.86808398950132,3.131916010498685,3,100.0,0.03489279747009277
22,30,158,120,Enfriamiento Simulado,5,True,"[9, 117, 89, 9]",40,373.306,96.89902887139107,23.100971128608933,3,133.33333333333334,15.814053773880005
23,30,158,120,Algoritmo Genetico Estacionario,5,True,"[9, 144, 152, 9]",40,347.302,117.55776902887139,2.442230971128609,3,133.33333333333334,15.7759108543396
