RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO,ROC
41,30,158,300,GRASP,9,True,"[9, 102, 21, 25, 117, 121, 152, 9]",0.8625,1.0,0.8950315293282902,0.5657612649854843,0.875,98.57142857142858,0.0692603588104248,0.8396585588627549
96,30,158,300,GRASP,20,True,"[9, 89, 51, 100, 121, 102, 109, 9]",0.85,0.7967579944840072,0.8489574817282689,0.8056261553340403,0.875,97.14285714285714,0.069368839263916,0.8352683263092633
81,30,158,300,GRASP,17,True,"[9, 53, 152, 121, 109, 102, 123, 9]",0.85,0.9514209677065372,0.8916568681774633,0.5833299998605653,0.875,97.14285714285714,0.0743918418884277,0.8302815671489132
49,30,158,300,Algoritmo Memetico,10,True,"[9, 45, 122, 138, 21, 152, 89, 9]",0.8125,0.6251664705756995,0.8116215058031349,1.0,0.875,92.85714285714286,330.21851801872253,0.8248575952757669
66,30,158,300,GRASP,14,True,"[9, 117, 89, 53, 104, 121, 102, 152, 9]",1.0,0.8027471183533829,0.9375987130097884,0.34415336687225984,1.0,100.0,0.0828490257263183,0.8168998396470861
61,30,158,300,GRASP,13,True,"[9, 117, 89, 104, 138, 121, 51, 100, 9]",0.975,0.6571593559564739,0.8974048126900604,0.5534057767444901,1.0,97.5,0.0827777385711669,0.8165939890782049
48,30,158,300,Algoritmo Genetico Estacionario,10,True,"[9, 45, 89, 104, 93, 21, 117, 9]",0.8125,0.8661455704275102,0.8881881151863262,0.6013885837967621,0.875,92.85714285714286,21.23165249824524,0.8086444538821198
76,30,158,300,GRASP,16,True,"[9, 144, 117, 100, 121, 152, 89, 109, 9]",0.975,0.5759002452011786,0.8883535113423914,0.6005275192082314,1.0,97.5,0.0822412967681884,0.8079562551503603
86,30,158,300,GRASP,18,True,"[9, 53, 104, 25, 117, 102, 121, 9]",0.875,0.9005965109484919,0.9144277521314454,0.464783098355886,0.875,100.0,0.0705208778381347,0.8059614722871646
11,30,158,300,GRASP,3,True,"[9, 117, 53, 102, 7, 152, 51, 109, 9]",0.975,0.9521837027254577,0.9822008797126047,0.11195119704435647,1.0,97.5,0.0917050838470459,0.8042671558964838
91,30,158,300,GRASP,19,True,"[9, 53, 102, 70, 51, 121, 138, 7, 9]",0.975,0.9677493178165424,0.9864982380282071,0.08957883266888624,1.0,97.5,0.0853583812713623,0.8037652777027272
71,30,158,300,GRASP,15,True,"[9, 138, 109, 89, 144, 152, 121, 70, 9]",0.975,0.8762343155057541,0.9679241223729582,0.1862770488457002,1.0,97.5,0.0828073024749755,0.8010870973448826
31,30,158,300,GRASP,7,True,"[9, 89, 53, 152, 109, 121, 17, 9]",0.8625,0.7878057182225285,0.8933254945419704,0.5746430079246752,0.875,98.57142857142858,0.0679755210876464,0.7986548441378348
56,30,158,300,GRASP,12,True,"[9, 21, 25, 89, 144, 51, 9]",0.7375,0.8319093280457158,0.8452793381694984,0.8247748420105345,0.75,98.33333333333334,0.0606043338775634,0.7978927016451497
38,30,158,300,Algoritmo Genetico Estacionario,8,True,"[9, 94, 117, 128, 7, 78, 45, 9]",0.8,0.9900585219416728,0.9290893947124159,0.388453505598063,0.875,91.42857142857142,22.85013461112976,0.7965202844504303
88,30,158,300,Algoritmo Genetico Estacionario,18,True,"[9, 104, 152, 89, 45, 85, 138, 9]",0.8125,0.7866282182058297,0.8863090444958246,0.6111711644167063,0.875,92.85714285714286,22.47464728355408,0.7943216854236721
68,30,158,300,Algoritmo Genetico Estacionario,14,True,"[9, 53, 152, 109, 94, 45, 117, 9]",0.825,0.5907245950872613,0.8456066618603574,0.8230707707316672,0.875,94.28571428571428,22.23944664001465,0.7918804055358571
36,30,158,300,GRASP,8,True,"[9, 149, 17, 121, 89, 117, 144, 9]",0.8625,0.6806344504952213,0.8771203594018514,0.6590081367974937,0.875,98.57142857142858,0.0705227851867675,0.7908525893389133
43,30,158,300,Algoritmo Genetico Estacionario,9,True,"[9, 122, 138, 117, 152, 109, 51, 9]",0.825,0.7156789120943121,0.8767583934048776,0.6608925584773023,0.875,94.28571428571428,22.232839345932007,0.7906659727952984
78,30,158,300,Algoritmo Genetico Estacionario,16,True,"[9, 121, 117, 62, 94, 104, 152, 9]",0.8125,0.7781818343745397,0.8906685306481227,0.5884753579406864,0.875,92.85714285714286,23.083192825317383,0.7889651445926698
51,30,158,300,GRASP,11,True,"[9, 117, 152, 121, 89, 53, 104, 25, 9]",1.0,0.6322122273611944,0.9340112804832532,0.3628298052238528,1.0,100.0,0.0841603279113769,0.78581066261366
46,30,158,300,GRASP,10,True,"[9, 89, 25, 104, 21, 121, 51, 9]",0.8625,0.7537913305845612,0.9006632091684,0.5364423243303663,0.875,98.57142857142858,0.0711419582366943,0.7856793728166654
82,30,158,300,Enfriamiento Simulado,17,True,"[9, 117, 144, 89, 152, 104, 94, 17, 9]",0.975,0.9281149280729426,0.9986008723362962,0.026571625738859406,1.0,97.5,0.2375707626342773,0.7856574852296196
44,30,158,300,Algoritmo Memetico,9,True,"[9, 140, 104, 109, 7, 152, 117, 9]",0.8375,0.8110376472391886,0.909776418819773,0.488998282671023,0.875,95.71428571428572,346.9795241355896,0.784462469745997
98,30,158,300,Algoritmo Genetico Estacionario,20,True,"[9, 117, 7, 78, 122, 109, 100, 9]",0.8,0.6672620961726797,0.8667371513925852,0.7130638835864457,0.875,91.42857142857142,23.40324592590332,0.7844126262303421
