RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
48,30,158,120,Algoritmo Genetico Estacionario,10,False,"[9, 152, 89, 94]",38,320.14200000000005,99.20133858267717,20.798661417322833,4,95.0,14.884634494781494
49,30,158,120,Algoritmo Memetico,10,False,"[89, 117, 9, 152]",40,311.084,98.08246719160104,21.91753280839896,4,100.0,191.26545000076294
50,30,158,120,Greedy,11,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.04424881935119629
51,30,158,120,GRASP,11,False,"[9, 152, 89, 104]",40,884.0320000000002,116.60146981627297,3.3985301837270327,4,100.0,2.9350759983062744
52,30,158,120,Enfriamiento Simulado,11,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,12.495241165161133
53,30,158,120,Algoritmo Genetico Estacionario,11,False,"[9, 152, 94, 104]",38,952.3380000000002,116.49787401574804,3.502125984251961,4,95.0,15.221939325332642
54,30,158,120,Algoritmo Memetico,11,False,"[89, 117, 9, 152]",40,311.084,98.08246719160104,21.91753280839896,4,100.0,203.50921297073364
55,30,158,120,Greedy,12,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.05559659004211426
56,30,158,120,GRASP,12,False,"[53, 89, 152, 9]",40,625.3810000000001,118.20709973753281,1.7929002624671853,4,100.0,3.710235357284546
57,30,158,120,Enfriamiento Simulado,12,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,15.4164457321167
58,30,158,120,Algoritmo Genetico Estacionario,12,False,"[9, 89, 109, 7]",38,1217.594,113.97892388451443,6.02107611548557,4,95.0,21.718165397644043
59,30,158,120,Algoritmo Memetico,12,False,"[9, 117, 53, 94]",38,911.7,115.96456692913385,4.035433070866148,4,95.0,207.61449003219604
60,30,158,120,Greedy,13,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.04677629470825195
61,30,158,120,GRASP,13,False,"[9, 152, 25]",30,1090.453,98.31040682414698,21.68959317585302,3,100.0,3.4948229789733887
62,30,158,120,Enfriamiento Simulado,13,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,15.420799970626831
63,30,158,120,Algoritmo Genetico Estacionario,13,False,"[9, 89, 152, 7]",39,938.2579999999999,107.3130971128609,12.686902887139098,4,97.5,14.997343301773071
64,30,158,120,Algoritmo Memetico,13,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,175.21615433692932
65,30,158,120,Greedy,14,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.047577619552612305
66,30,158,120,GRASP,14,False,"[9, 53, 21]",29,951.284,102.48404199475067,17.51595800524933,3,96.66666666666666,3.2728633880615234
67,30,158,120,Enfriamiento Simulado,14,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,13.768591403961182
68,30,158,120,Algoritmo Genetico Estacionario,14,False,"[117, 9, 121, 100]",39,1194.127,116.67095800524935,3.3290419947506535,4,97.5,12.26624083518982
69,30,158,120,Algoritmo Memetico,14,False,"[9, 89, 94, 25]",38,1059.5030000000002,116.90423884514435,3.0957611548556514,4,95.0,184.37002158164978
70,30,158,120,Greedy,15,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.04290628433227539
71,30,158,120,GRASP,15,False,"[9, 121, 51]",30,1367.408,106.94498687664043,13.055013123359572,3,100.0,2.5599772930145264
72,30,158,120,Enfriamiento Simulado,15,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,11.128922939300537
73,30,158,120,Algoritmo Genetico Estacionario,15,False,"[9, 117, 89, 138]",39,1057.284,104.87511811023622,15.124881889763785,4,97.5,11.25777530670166
74,30,158,120,Algoritmo Memetico,15,False,"[117, 9, 109, 89]",39,1193.125,112.65780839895012,7.342191601049876,4,97.5,168.64203429222107
75,30,158,120,Greedy,16,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.042215585708618164
76,30,158,120,GRASP,16,False,"[53, 117, 9, 152]",40,653.948,116.58199475065616,3.4180052493438353,4,100.0,2.653306484222412
77,30,158,120,Enfriamiento Simulado,16,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,10.972084045410156
78,30,158,120,Algoritmo Genetico Estacionario,16,False,"[100, 121, 9, 117]",39,1194.127,116.67095800524935,3.3290419947506535,4,97.5,10.554966688156128
79,30,158,120,Algoritmo Memetico,16,False,"[9, 117, 89, 104]",40,793.3340000000001,110.41120734908135,9.588792650918649,4,100.0,169.4644274711609
80,30,158,120,Greedy,17,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.04950380325317383
81,30,158,120,GRASP,17,False,"[53, 117, 9, 152]",40,653.948,116.58199475065616,3.4180052493438353,4,100.0,2.664435386657715
82,30,158,120,Enfriamiento Simulado,17,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,11.146795511245728
83,30,158,120,Algoritmo Genetico Estacionario,17,False,"[9, 47, 109, 121]",36,980.154,117.86291338582676,2.137086614173242,4,90.0,9.48871660232544
84,30,158,120,Algoritmo Memetico,17,False,"[9, 117, 89, 53]",40,534.683,112.0168372703412,7.983162729658801,4,100.0,168.6895682811737
85,30,158,120,Greedy,18,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.0422210693359375
86,30,158,120,GRASP,18,False,"[152, 9, 117, 104]",40,912.5990000000002,114.97636482939632,5.023635170603683,4,100.0,2.6325747966766357
87,30,158,120,Enfriamiento Simulado,18,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,11.122312545776367
88,30,158,120,Algoritmo Genetico Estacionario,18,False,"[9, 89, 117, 109]",39,913.7379999999999,108.991312335958,11.008687664042,4,97.5,13.887714147567749
89,30,158,120,Algoritmo Memetico,18,False,"[100, 152, 9, 117]",39,1237.405,113.23891076115484,6.761089238845159,4,97.5,167.68092226982117
90,30,158,120,Greedy,19,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.04341864585876465
91,30,158,120,GRASP,19,False,"[9, 53, 25]",30,1014.893,108.31880577427822,11.681194225721782,3,100.0,2.572946071624756
92,30,158,120,Enfriamiento Simulado,19,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,10.96383023262024
93,30,158,120,Algoritmo Genetico Estacionario,19,False,"[9, 109, 7, 117]",38,1696.722,118.26669291338582,1.7333070866141753,4,95.0,13.778026580810547
94,30,158,120,Algoritmo Memetico,19,False,"[152, 9, 117, 144]",40,173.651,112.27888451443569,7.721115485564312,4,100.0,167.31348133087158
95,30,158,120,Greedy,20,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.042758941650390625
96,30,158,120,GRASP,20,False,"[117, 9, 109, 138]",38,865.448,108.35758530183726,11.642414698162739,4,95.0,2.6460721492767334
97,30,158,120,Enfriamiento Simulado,20,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,11.218055248260498
98,30,158,120,Algoritmo Genetico Estacionario,20,False,"[9, 152, 117, 29]",37,749.701,107.83859580052493,12.161404199475072,4,92.5,13.180826663970947
99,30,158,120,Algoritmo Memetico,20,False,"[152, 9, 144, 117]",40,173.651,112.27888451443569,7.721115485564312,4,100.0,172.8350796699524
