RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
89,30,158,300,Algoritmo Memetico,18,False,"[70, 51, 122, 109, 89, 94, 117, 144, 9, 152]",95,2174.389,291.53528871391075,8.464711286089255,10,95.0,726.4709088802338
37,30,158,300,Enfriamiento Simulado,8,False,"[9, 117, 144, 89, 152, 53, 104, 25, 102]",90,3253.184,299.69270341207346,0.3072965879265439,9,100.0,0.2312524318695068
46,30,158,300,GRASP,10,False,"[128, 25, 104, 53, 89, 117, 9, 152, 102]",89,3547.884,289.56015748031496,10.439842519685044,9,98.88888888888889,4.271347284317017
0,30,158,300,Greedy,1,False,"[9, 117, 144, 89, 152, 53, 104, 25, 21]",89,2347.974,295.81330708661415,4.186692913385855,9,98.88888888888889,0.1546201705932617
98,30,158,300,Algoritmo Genetico Estacionario,20,False,"[152, 28, 109, 138, 121, 89, 9, 47, 144, 90]",84,2837.2490000000003,297.2342388451444,2.7657611548556247,10,84.0,34.714863300323486
