RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
3,30,158,120,Algoritmo Genetico Estacionario,1,False,"[152, 89, 117, 9]",40,365.487,98.79641732283464,21.20358267716536,4,100.0,15.213562965393066
4,30,158,120,Algoritmo Memetico,1,False,"[152, 9, 144, 89]",40,311.084,116.08246719160104,3.91753280839896,4,100.0,169.59826517105105
2,30,158,120,Enfriamiento Simulado,1,False,"[9, 117, 152, 89]",40,401.705,99.271719160105,20.728280839895007,4,100.0,13.60449242591858
6,30,158,120,GRASP,2,False,"[53, 89, 117, 9]",40,534.683,112.0168372703412,7.983162729658801,4,100.0,2.6286792755126958
0,30,158,120,Greedy,1,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.0675487518310546
