RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,Greedy,1,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.11419939994812012
1,30,158,300,GRASP,1,True,"[9, 25, 104, 89, 144, 121, 51, 9]",70,4787.094000000001,279.82275590551177,20.17724409448823,7,100.0,0.07608842849731445
2,30,158,300,Enfriamiento Simulado,1,True,"[9, 117, 144, 102, 100, 152, 89, 122, 21]",76,5338.795999999999,278.39909448818895,21.60090551181105,8,95.0,0.2649362087249756
3,30,158,300,Algoritmo Genetico Estacionario,1,True,"[9, 144, 104, 102, 89, 53, 117, 9]",70,4826.984,284.34624671916004,15.653753280839965,7,100.0,26.83657717704773
4,30,158,300,Algoritmo Memetico,1,True,"[9, 100, 140, 89, 92, 152, 45, 9]",65,6080.346,287.79456692913385,12.20543307086615,7,92.85714285714286,330.40690445899963
5,30,158,300,Greedy,2,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10226893424987793
6,30,158,300,GRASP,2,True,"[9, 53, 25, 104, 117, 144, 138, 121, 9]",79,3951.7780000000002,291.8606036745407,8.139396325459302,8,98.75,0.08667254447937012
7,30,158,300,Enfriamiento Simulado,2,True,"[9, 117, 144, 89, 152, 53, 104, 102, 21]",79,3884.6620000000003,289.20986876640427,10.79013123359573,8,98.75,0.24768805503845215
8,30,158,300,Algoritmo Genetico Estacionario,2,True,"[9, 90, 102, 117, 144, 121, 7, 9]",65,6356.452,285.4180052493438,14.581994750656179,7,92.85714285714286,24.920233964920044
9,30,158,300,Algoritmo Memetico,2,True,"[9, 90, 40, 94, 89, 104, 123, 93, 9]",66,6820.994000000001,298.5143569553806,1.485643044619394,8,82.5,342.61727142333984
10,30,158,300,Greedy,3,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10217428207397461
11,30,158,300,GRASP,3,True,"[9, 102, 100, 17, 121, 138, 144, 117, 9]",78,5438.073,288.3657874015748,11.634212598425222,8,97.5,0.10261273384094238
12,30,158,300,Enfriamiento Simulado,3,True,"[9, 117, 144, 89, 152, 53, 104, 25, 21]",79,2347.9739999999997,282.0433595800525,17.95664041994752,8,98.75,0.24604582786560059
13,30,158,300,Algoritmo Genetico Estacionario,3,True,"[9, 109, 47, 89, 45, 21, 144, 9]",64,4278.404,267.14703412073493,32.85296587926507,7,91.42857142857142,24.553561687469482
14,30,158,300,Algoritmo Memetico,3,True,"[9, 7, 121, 154, 9, 152, 89]",57,2826.3230000000003,213.0908530183727,86.90914698162729,6,95.0,382.3397750854492
15,30,158,300,Greedy,4,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10485267639160156
16,30,158,300,GRASP,4,True,"[9, 117, 152, 89, 53, 21, 102, 123, 9]",78,4719.4800000000005,263.9354330708661,36.06456692913389,8,97.5,0.0889279842376709
17,30,158,300,Enfriamiento Simulado,4,True,"[9, 117, 144, 89, 152, 121, 104, 25, 21]",79,3975.3889999999997,296.40051181102365,3.599488188976352,8,98.75,0.2524402141571045
18,30,158,300,Algoritmo Genetico Estacionario,4,True,"[9, 102, 89, 51, 122, 21, 117, 9]",67,6405.164000000001,282.0572703412073,17.9427296587927,7,95.71428571428571,20.81153655052185
19,30,158,300,Algoritmo Memetico,4,True,"[9, 121, 100, 64, 40, 29, 149, 9]",57,5760.569,295.59801837270345,4.40198162729655,7,81.42857142857142,282.3436541557312
20,30,158,300,Greedy,5,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.104583740234375
21,30,158,300,GRASP,5,True,"[9, 144, 152, 89, 21, 104, 128, 102, 9]",78,5101.308000000001,285.94629921259843,14.053700787401567,8,97.5,0.0941314697265625
