RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
33,30,158,300,Algoritmo Genetico Estacionario,7,True,"[9, 152, 117, 144, 99, 21, 122, 9]",66,4260.465999999999,274.9116272965879,25.08837270341212,7,94.28571428571429,20.521965742111206
34,30,158,300,Algoritmo Memetico,7,True,"[9, 102, 51, 121, 21, 53, 9]",59,5102.2480000000005,266.9586351706037,33.04136482939629,6,98.33333333333334,299.2073018550873
35,30,158,300,Greedy,8,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.1051020622253418
36,30,158,300,GRASP,8,True,"[9, 149, 17, 121, 89, 117, 144, 9]",69,4279.760000000001,262.16482939632544,37.835170603674555,7,98.57142857142858,0.07052278518676758
37,30,158,300,Enfriamiento Simulado,8,True,"[9, 117, 144, 89, 51, 121, 109, 104, 9]",79,4359.037,297.2974934383202,2.7025065616797974,8,98.75,0.24664545059204102
38,30,158,300,Algoritmo Genetico Estacionario,8,True,"[9, 94, 117, 128, 7, 78, 45, 9]",64,6225.387000000001,277.69799212598423,22.30200787401577,7,91.42857142857142,22.85013461112976
39,30,158,300,Algoritmo Memetico,8,True,"[9, 149, 123, 104, 53, 89, 152, 9]",68,5321.305,292.8333989501312,7.166601049868802,7,97.14285714285714,305.73754382133484
40,30,158,300,Greedy,9,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10642766952514648
41,30,158,300,GRASP,9,True,"[9, 102, 21, 25, 117, 121, 152, 9]",69,6287.898,267.5183464566929,32.48165354330712,7,98.57142857142858,0.0692603588104248
42,30,158,300,Enfriamiento Simulado,9,True,"[9, 144, 53, 117, 152, 21, 104, 25, 9]",79,3482.923,297.93770341207346,2.0622965879265394,8,98.75,0.25672268867492676
43,30,158,300,Algoritmo Genetico Estacionario,9,True,"[9, 122, 138, 117, 152, 109, 51, 9]",66,4500.116000000001,262.05664041994754,37.94335958005246,7,94.28571428571429,22.232839345932007
44,30,158,300,Algoritmo Memetico,9,True,"[9, 140, 104, 109, 7, 152, 117, 9]",67,5099.722,271.9254855643045,28.074514435695505,7,95.71428571428571,346.9795241355896
45,30,158,300,Greedy,10,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10205817222595215
46,30,158,300,GRASP,10,True,"[9, 89, 25, 104, 21, 121, 51, 9]",69,4739.763000000001,269.20161417322834,30.798385826771664,7,98.57142857142858,0.07114195823669434
47,30,158,300,Enfriamiento Simulado,10,True,"[9, 117, 144, 89, 152, 53, 138, 51, 9]",79,3969.897000000001,290.6966797900263,9.30332020997372,8,98.75,0.24626612663269043
48,30,158,300,Algoritmo Genetico Estacionario,10,True,"[9, 45, 89, 104, 93, 21, 117, 9]",65,5446.235000000001,265.4729002624672,34.52709973753281,7,92.85714285714286,21.23165249824524
49,30,158,300,Algoritmo Memetico,10,True,"[9, 45, 122, 138, 21, 152, 89, 9]",65,3930.9829999999997,242.58770341207347,57.412296587926534,7,92.85714285714286,330.21851801872253
50,30,158,300,Greedy,11,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10027575492858887
51,30,158,300,GRASP,11,True,"[9, 117, 152, 121, 89, 53, 104, 25, 9]",80,3975.2859999999996,279.16910761154855,20.830892388451446,8,100.0,0.08416032791137695
52,30,158,300,Enfriamiento Simulado,11,True,"[9, 117, 144, 89, 152, 121, 104, 25, 9]",80,4040.4649999999997,292.25452755905513,7.745472440944866,8,100.0,0.2413945198059082
53,30,158,300,Algoritmo Genetico Estacionario,11,True,"[9, 53, 89, 122, 51, 144, 7, 9]",67,5054.834,291.33640419947506,8.663595800524945,7,95.71428571428571,22.818634748458862
54,30,158,300,Algoritmo Memetico,11,True,"[9, 53, 102, 138, 109, 152, 89, 9]",68,4530.545999999999,266.45598425196846,33.54401574803154,7,97.14285714285714,273.05733013153076
55,30,158,300,Greedy,12,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10449838638305664
56,30,158,300,GRASP,12,True,"[9, 21, 25, 89, 144, 51, 9]",59,5230.961,252.64778215223095,47.352217847769055,6,98.33333333333334,0.06060433387756348
